1000, 1143844, 0, 0
1000, 491684, 1, 0
2000, 1225832, 0, 0
2000, 526300, 1, 0
2999, 930178, 0, 0
2999, 396676, 1, 0
4000, 1197984, 0, 0
4000, 513256, 1, 0
5000, 1047224, 0, 0
5000, 450952, 1, 0
6000, 1111752, 0, 0
6000, 476072, 1, 0
7000, 1085628, 0, 0
7000, 463612, 1, 0
8000, 1199184, 0, 0
8000, 516252, 1, 0
9000, 1178796, 0, 0
9000, 504560, 1, 0
10000, 1182056, 0, 0
10000, 503704, 1, 0
11000, 1208248, 0, 0
11000, 519544, 1, 0
11999, 977753, 0, 0
11999, 419203, 1, 0
13000, 1115796, 0, 0
13000, 479176, 1, 0
14000, 1026204, 0, 0
14000, 439776, 1, 0
14999, 1179943, 0, 0
14999, 508476, 1, 0
16000, 1122076, 0, 0
16000, 481656, 1, 0
17000, 1212796, 0, 0
17000, 517424, 1, 0
18000, 1245436, 0, 0
18000, 533660, 1, 0
19000, 1293536, 0, 0
19000, 555064, 1, 0
20000, 1116264, 0, 0
20000, 475600, 1, 0
21000, 1165400, 0, 0
21000, 499156, 1, 0
22000, 1149800, 0, 0
22000, 493416, 1, 0
23000, 1169344, 0, 0
23000, 502532, 1, 0
24000, 1176596, 0, 0
24000, 501784, 1, 0
25000, 1049108, 0, 0
25000, 449672, 1, 0
26000, 1192772, 0, 0
26000, 511448, 1, 0
27000, 1223676, 0, 0
27000, 521396, 1, 0
28000, 1248036, 0, 0
28000, 532972, 1, 0
29000, 951868, 0, 0
29000, 410384, 1, 0
29999, 1209921, 0, 0
29999, 518722, 1, 0
31000, 1039648, 0, 0
31000, 446252, 1, 0
32000, 1191148, 0, 0
32000, 508972, 1, 0
33000, 980248, 0, 0
33000, 420424, 1, 0
34000, 965144, 0, 0
34000, 412364, 1, 0
35000, 1118160, 0, 0
35000, 478728, 1, 0
35999, 1145209, 0, 0
35999, 491471, 1, 0
37000, 949412, 0, 0
37000, 407492, 1, 0
38000, 860080, 0, 0
38000, 369600, 1, 0
38999, 876876, 0, 0
38999, 376428, 1, 0
40006, 972596, 0, 0
40006, 416155, 1, 0
41000, 692088, 0, 0
41000, 297676, 1, 0
42000, 917920, 0, 0
42000, 393232, 1, 0
43000, 833416, 0, 0
43000, 356392, 1, 0
44001, 878961, 0, 0
44001, 380255, 1, 0
45000, 1054572, 0, 0
45000, 453136, 1, 0
46000, 943732, 0, 0
46000, 402504, 1, 0
47000, 789696, 0, 0
47000, 339564, 1, 0
48000, 804264, 0, 0
48000, 345128, 1, 0
48999, 1177841, 0, 0
48999, 506270, 1, 0
50000, 942036, 0, 0
50000, 402764, 1, 0
51000, 973988, 0, 0
51000, 419104, 1, 0
52000, 1176276, 0, 0
52000, 503592, 1, 0
53000, 986012, 0, 0
53000, 423724, 1, 0
54000, 1147992, 0, 0
54000, 491524, 1, 0
55000, 1030564, 0, 0
55000, 445248, 1, 0
56000, 1263076, 0, 0
56000, 540136, 1, 0
57000, 959668, 0, 0
57000, 413040, 1, 0
58000, 993132, 0, 0
58000, 426820, 1, 0
59000, 833452, 0, 0
59000, 354896, 1, 0
59999, 1006058, 0, 0
59999, 431179, 1, 0
